[					
]					
䀍	k,,a,n,4	h,,a,m,3			
䄥	l,,i,ng,2	l,,i,ng,4			
䖂	l,u,a,n,2	l,i,u,n,4			
䖃	,iu,e,,4	l,,aa,,3			
䖄	r,,a,n,2	z,,i,n,4			
䥹					
䯁	l,u,o,,2	l,,eoi,,4			
䰖	z,u,a,n,3	c,i,u,n,4			
䶩	j,,i,,4	c,,aai,,1|d,,a,m,3|z,,aai,,6			
䶪	ch,,a,,4	c,,aa,t,8			
爨	c,u,a,n,4	c,i,u,n,3	ch,,a,n,None		s,,a,n,None
纞	l,i,a,n,4				r,,e,n,None
虊	l,u,a,n,2				
讟	d,,u,,2	d,,u,k,9			t,,o,ku,None|d,,o,ku,None|t,,o,u,None
钃	sh,,u,,3	s,,u,k,9			s,y,o,ku,None|z,,o,ku,None|t,y,o,ku,None|t,,o,ku,None
靏	h,,e,,4				k,,a,ku,None
驪	l,,i,,2	l,,ei,,4	l,y,e,,None		r,,i,,None|r,,e,i,None
鬱	,i,u,,4	,u,a,t,7	,w,u,l,None		,,u,tsu,None
鱹	g,u,a,n,4				
鸛	g,u,a,n,4	g,,u,n,3	k,w,a,n,None		k,,a,n,None
鸜	q,,u,,2		k,w,u,,None	c,,o,,2	k,,u,,None|g,,u,,None
麷	f,,e,ng,1	f,,u,ng,1			
驪	l,,i,,2	l,,ei,,4	l,y,e,,None		r,,i,,None|r,,e,i,None
